model,ood_tier,method_id,method_name,K,repeat_seed,n_total,n_total_molecules,n_support,n_support_rows,n_query,n_query_molecules,mode,unirt_seed,checkpoint,dataset_signature,support_rng_seed,head_init_seed,mae_sec,rmse_sec,medae_sec,mape_pct,r2
Uni-RT GINKAN,external_OOD,0391,ticlopidine,0,-1,6541,6541,0,0,6541,6541,zero_shot_source_task_ensemble,2,best_model.pth,1f344771e53cc296,,,194.03177395051128,204.4512078928161,195.99092065953593,120.85555008477932,-6.536976258224864
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2004,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115009.0,3109.0,322.16549843270644,625.3790539281034,139.69558810505782,158.79314073196005,-69.52017105753578
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2006,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115011.0,3111.0,284.3874402743283,403.40296651266505,199.93018086705027,192.8067828875226,-28.33659865684718
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2011,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115016.0,3116.0,346.261104628333,933.2018576140844,153.67887837397663,219.0912121698075,-156.02397085783966
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2012,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115017.0,3117.0,386.8419807131115,1063.238872154531,122.82882063158426,166.64389486746322,-202.7588933101316
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2016,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115021.0,3121.0,146.06589299872522,181.543825331864,134.02167870314602,88.57636349636235,-4.945669644831022
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2020,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115025.0,3125.0,329.8610008125362,592.0098476086563,167.6349856982461,194.3088453948692,-62.18631995913787
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2022,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115027.0,3127.0,223.51365909433036,332.4443990527516,175.68757767119857,153.88251695574306,-18.91966875714945
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2027,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115032.0,3132.0,153.26321050530825,275.43355901666183,116.40664578034335,82.01801127959622,-12.67839064289248
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2032,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115037.0,3137.0,122.0693869890926,173.91576732441325,100.7115012877608,69.52648004218578,-4.459005497672677
Uni-RT GINKAN,external_OOD,0391,ticlopidine,5,2034,6541,6541,5,5,6536,6536,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115039.0,3139.0,187.7221075351449,423.1271954924849,113.24576678882976,110.50217066224464,-31.287903127042235
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2004,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115024.0,3124.0,121.52599368268304,165.6444350902958,98.78007355816072,91.8062505526184,-3.945993678726272
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2006,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115026.0,3126.0,141.05796633321356,210.40837564680203,98.60340073820038,90.74678565327793,-7.0021679950934566
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2011,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115031.0,3131.0,158.95347620596593,250.19373290240404,104.03815886659967,98.65709130844328,-10.301971147364196
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2012,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115032.0,3132.0,124.84557789576613,167.60950390007744,100.49905122670334,83.2152507852833,-4.060085756278032
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2016,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115036.0,3136.0,133.78851214421906,197.02730964724552,95.91471655318016,81.17366325257032,-6.00443188140872
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2020,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115040.0,3140.0,105.29634244901904,145.73613519268537,79.51570060308377,62.973782959728,-2.8248406813144173
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2022,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115042.0,3142.0,136.3312416541797,210.983287192546,89.36042217538841,82.97142295315687,-7.030596500137991
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2027,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115047.0,3147.0,86.56645885204078,140.18963218404804,65.427192038696,50.61297605844668,-2.542998874599103
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2032,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115052.0,3152.0,97.87833975752154,132.67606187082163,77.1315992125102,68.38841234465632,-2.1740699492254376
Uni-RT GINKAN,external_OOD,0391,ticlopidine,20,2034,6541,6541,20,20,6521,6521,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115054.0,3154.0,100.41104647411058,132.90380069255568,79.18620422350153,66.22146588253719,-2.1825683233230886
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2004,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115104.0,3204.0,73.03544816710128,96.71114493544104,57.33320338418709,51.60204893794518,-0.6821974353561673
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2006,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115106.0,3206.0,64.10644796610056,96.23453938858697,50.461063696338414,42.094721392233566,-0.666621351543675
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2011,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115111.0,3211.0,79.41915547781642,110.68221934873876,60.19966537430108,48.123616127805555,-1.2069429194439691
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2012,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115112.0,3212.0,78.17184262256201,142.4692321949698,53.9767965706676,48.187314482098984,-2.6571593480581543
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2016,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115116.0,3216.0,71.78728049506724,105.38495158325826,55.22271254657042,44.76795051239112,-0.998573736086994
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2020,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115120.0,3220.0,72.1252156266477,97.20233094229138,56.07416897387691,47.72001219649715,-0.7058104147530624
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2022,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115122.0,3222.0,65.01193863746765,95.5499630963504,50.93371505902877,44.52322741387753,-0.6473269989165964
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2027,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115127.0,3227.0,68.76700663149494,88.4667046717212,57.15972023982778,46.302703664976654,-0.4059406952337328
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2032,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115132.0,3232.0,68.22868737279032,89.4495693393553,55.07095671815952,43.5984079993377,-0.4438924520378693
Uni-RT GINKAN,external_OOD,0391,ticlopidine,100,2034,6541,6541,100,100,6441,6441,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1115134.0,3234.0,82.42549289235639,214.26301367992676,56.10375067069151,47.95666682187393,-7.261197945034077
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2004,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116004.0,4104.0,45.04930530151413,59.55121121796369,36.51930948729327,30.76266821378237,0.354735124386582
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2006,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116006.0,4106.0,43.27590808088375,60.505550854096526,34.55832266573316,29.64868434123381,0.3359165316575849
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2011,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116011.0,4111.0,40.62140487910797,53.656201004295475,32.306336769389304,27.0154549055379,0.4804740318681707
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2012,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116012.0,4112.0,54.56608242890317,71.19420823528326,43.810147733045994,36.085837263762855,0.0876698137971644
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2016,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116016.0,4116.0,45.69859809160145,58.961620936604795,38.21594676786849,32.36222903974618,0.3680586449124212
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2020,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116020.0,4120.0,47.55131270364651,62.54321527162764,38.05102717325828,31.7571168422423,0.2945405859730011
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2022,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116022.0,4122.0,46.03156835755028,62.94166581801685,36.38931393707486,30.899244640649098,0.2924999105609813
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2027,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116027.0,4127.0,42.561330143810586,55.7330741573143,34.66349993218219,28.853837131863003,0.4376844650920917
